Hamilton,33.5,45
Bottas,23.6,32
Verstappen,24.8,35
Perez,18.4,23
Riccardo,17.3,15
Norris,13.1,29
Leclerc,16.8,20
Sainz,14.4,11
Gasly,11.7,2
Tsunoda,8.8,16
Alsonso,15.6,-8
Ocon,10.1,13
Vettel,16.2,13
Stroll,13.9,11
Raikkonen,9.6,13
Giovinazzi,7.9,5
Russell,6.2,10
Latifi,6.5,1
Schumacher,5.8,11
Mazepin,5.3,-14
